linux; GNU C++ version 4.6.3; Boost_104601; UHD_003.004.003-release

Using Volk machine: sse4_2_64
-- Opening a USRP2/N-Series device...
-- Current recv frame size: 1472 bytes
-- Current send frame size: 1472 bytes

Symbol Rate:         2.000000
Requested sps:       2.000000
Given sample rate:   195312.500000
Actual sps for rate: 97656.250000

Requested sample rate: 4.000000
Actual sample rate: 195312.500000


Sensing the spectrum
896899414.062 9.8863812326e-06 1
896923828.125 9.39832835201e-06 1
896948242.188 8.38069998963e-06 1
896972656.25 8.45213561718e-06 1
896997070.312 7.15264626479e-06 1
897021484.375 7.37513107083e-06 1
897045898.438 7.81419736313e-06 1
897070312.5 7.03249868366e-06 1
897094726.562 6.71453802852e-06 1
897119140.625 6.73639454476e-06 1
897143554.688 8.25382647918e-06 1
897167968.75 8.84480414811e-06 1
897192382.812 1.15847864151e-05 1
897216796.875 1.24775874383e-05 1
897241210.938 1.16487851585e-05 1
897265625.0 1.1369542375e-05 1
897290039.062 1.24288299304e-05 1
897314453.125 1.37824964327e-05 1
897338867.188 1.32412032826e-05 1
897363281.25 1.58020814922e-05 1
897387695.312 1.53626105828e-05 1
897412109.375 1.42479697956e-05 1
897436523.438 1.43304348853e-05 1
897460937.5 1.6830007786e-05 1
897485351.562 1.77670788048e-05 1
897509765.625 1.57636788288e-05 1
897534179.688 1.87720992983e-05 1
897558593.75 2.11849044376e-05 1
897583007.812 2.50382024092e-05 1
897607421.875 2.52904789932e-05 1
897631835.938 2.19517127221e-05 1
897656250.0 2.12866980803e-05 1
897680664.062 2.72317424674e-05 1
897705078.125 2.72356012658e-05 1
897729492.188 2.30048274148e-05 1
897753906.25 2.53321511764e-05 1
897778320.312 2.61616869409e-05 1
897802734.375 2.63109855211e-05 1
897827148.438 1.91436911621e-05 1
897851562.5 1.86031872261e-05 1
897875976.562 1.81602373658e-05 1
897900390.625 2.20937671827e-05 1
897924804.688 2.30108526779e-05 1
897949218.75 2.5579445321e-05 1
897973632.812 2.23329611629e-05 1
897998046.875 2.24290430424e-05 1
898022460.938 2.81336076398e-05 1
898046875.0 2.90014827158e-05 1
898071289.062 2.74745708538e-05 1
898095703.125 2.36341689003e-05 1
898120117.188 2.14139290222e-05 1
898144531.25 2.11129653394e-05 1
898168945.312 2.41971979676e-05 1
898193359.375 3.2754660225e-05 1
898217773.438 3.81984505054e-05 1
898242187.5 3.07457830928e-05 1
898266601.562 2.5946177297e-05 1
898291015.625 3.23955421862e-05 1
898315429.688 3.79221652167e-05 1
898339843.75 3.63125981949e-05 1
898364257.812 3.79827841186e-05 1
898388671.875 3.87816086743e-05 1
898413085.938 4.21938961637e-05 1
898437500.0 2.94199347536e-05 1
898461914.062 3.31983695844e-05 1
898486328.125 3.67092628494e-05 1
898510742.188 3.67953433852e-05 1
898535156.25 3.55630553315e-05 1
898559570.312 3.46851598522e-05 1
898583984.375 3.44115225118e-05 1
898608398.438 4.67610648684e-05 1
898632812.5 4.12560480811e-05 1
898657226.562 3.58775504708e-05 1
898681640.625 3.68939288222e-05 1
898706054.688 4.03222740374e-05 1
898730468.75 4.66708088481e-05 1
898754882.812 5.41557276705e-05 1
898779296.875 3.78250079137e-05 1
898803710.938 3.10921158302e-05 1
898828125.0 3.75017163947e-05 1
898852539.062 3.5832383918e-05 1
898876953.125 4.0030559046e-05 1
898901367.188 4.36023906275e-05 1
898925781.25 5.01322602474e-05 1
898950195.312 5.01677675061e-05 1
898974609.375 4.96413163319e-05 1
898999023.438 6.31496961063e-05 1
899023437.5 0.000182222270456 0
899047851.562 0.000629777323564 0
899072265.625 0.00100210547994 0
899096679.688 0.000935910727554 0
899121093.75 0.000807414397445 0
899145507.812 0.000917043102038 0
899169921.875 0.000855479245325 0
899194335.938 0.000913409173927 0
899218750.0 0.00095742792339 0
899243164.062 0.000973063874011 0
899267578.125 0.000942922610898 0
899291992.188 0.000979296737111 0
899316406.25 0.00113633783595 0
899340820.312 0.00116503682528 0
899365234.375 0.000861835389514 0
899389648.438 0.00088613642526 0
899414062.5 0.000984312279667 0
899438476.562 0.000850977107652 0
899462890.625 0.00108226060354 0
899487304.688 0.00106903139259 0
899511718.75 0.000867873527784 0
899536132.812 0.000899153491616 0
899560546.875 0.000956509294298 0
899584960.938 0.000856625906272 0
899609375.0 0.000974768977261 0
899633789.062 0.00092085496878 0
899658203.125 0.000957045490028 0
899682617.188 0.000938962918681 0
899707031.25 0.000904393670919 0
899731445.312 0.000940711891627 0
899755859.375 0.000805215865421 0
899780273.438 0.000944663769573 0
899804687.5 0.000942298704013 0
899829101.562 0.000816753456704 0
899853515.625 0.000870229527527 0
899877929.688 0.0011924858731 0
899902343.75 0.00105481769837 0
899926757.812 0.00090561599942 0
899951171.875 0.0011638839811 0
899975585.938 0.0196064563774 0
900000000.0 0.209097354924 0
900024414.062 0.443541748152 0
900048828.125 0.209967903712 0
900073242.188 0.0197870357591 0
900097656.25 0.00121175163713 0
900122070.312 0.000908832672633 0
900146484.375 0.000900771193551 0
900170898.438 0.00091962661686 0
900195312.5 0.000920507321405 0
900219726.562 0.000983654704487 0
900244140.625 0.000902620596702 0
900268554.688 0.00104520526653 0
900292968.75 0.00128054617875 0
900317382.812 0.000949153280436 0
900341796.875 0.00102322124689 0
900366210.938 0.00100851491904 0
900390625.0 0.000937582373581 0
900415039.062 0.00093514879315 0
900439453.125 0.00103289927963 0
900463867.188 0.000953314165542 0
900488281.25 0.000882394822162 0
900512695.312 0.000895174105983 0
900537109.375 0.000934051749368 0
900561523.438 0.000816428988688 0
900585937.5 0.000820388882281 0
900610351.562 0.000697704013669 0
900634765.625 0.000807446295954 0
900659179.688 0.00104101697065 0
900683593.75 0.000942278444518 0
900708007.812 0.000901272933714 0
900732421.875 0.000917635985385 0
900756835.938 0.000987313526753 0
900781250.0 0.00107476501886 0
900805664.062 0.00108186471866 0
900830078.125 0.00113267781848 0
900854492.188 0.00117457674806 0
900878906.25 0.00136329746715 0
900903320.312 0.00119501196913 0
900927734.375 0.0010947978891 0
900952148.438 0.000962854599544 0
900976562.5 0.000610352471853 0
901000976.562 0.00030767270697 0
901025390.625 8.16385280757e-05 1
901049804.688 5.39695210136e-05 1
901074218.75 5.56312774876e-05 1
901098632.812 5.35221521062e-05 1
901123046.875 5.09509487017e-05 1
901147460.938 5.04499959163e-05 1
901171875.0 4.55086628904e-05 1
901196289.062 4.15866889682e-05 1
901220703.125 3.65436930394e-05 1
901245117.188 3.04682532942e-05 1
901269531.25 3.03635854948e-05 1
901293945.312 3.8189049269e-05 1
901318359.375 4.1952153623e-05 1
901342773.438 3.63926540047e-05 1
901367187.5 3.4465335483e-05 1
901391601.562 4.29942283631e-05 1
901416015.625 5.41615173177e-05 1
901440429.688 5.09034258641e-05 1
901464843.75 4.08956702216e-05 1
901489257.812 4.39604755854e-05 1
901513671.875 4.07759146469e-05 1
901538085.938 4.65820254988e-05 1
901562500.0 4.47428671521e-05 1
901586914.062 4.42797045764e-05 1
901611328.125 5.06038748796e-05 1
901635742.188 5.60286861372e-05 1
901660156.25 5.89187489254e-05 1
901684570.312 7.03446293528e-05 1
901708984.375 6.88290191931e-05 1
901733398.438 5.71249742393e-05 1
901757812.5 4.19717655575e-05 1
901782226.562 3.03766121192e-05 1
901806640.625 2.54773609157e-05 1
901831054.688 2.50614209904e-05 1
901855468.75 2.59084543131e-05 1
901879882.812 2.53938336073e-05 1
901904296.875 3.02303819012e-05 1
901928710.938 2.92484623628e-05 1
901953125.0 3.46618340643e-05 1
901977539.062 3.49261864756e-05 1
902001953.125 3.27982713372e-05 1
902026367.188 2.8788901173e-05 1
902050781.25 2.19487687644e-05 1
902075195.312 2.00876133533e-05 1
902099609.375 1.97564460905e-05 1
902124023.438 2.4252421332e-05 1
902148437.5 2.91513175682e-05 1
902172851.562 2.13957913331e-05 1
902197265.625 2.21713495762e-05 1
902221679.688 2.27799479006e-05 1
902246093.75 1.99305736203e-05 1
902270507.812 1.92401118909e-05 1
902294921.875 2.24606714994e-05 1
902319335.938 2.29884271562e-05 1
902343750.0 2.29915896057e-05 1
902368164.062 2.54801120036e-05 1
902392578.125 2.15298913986e-05 1
902416992.188 2.02457889429e-05 1
902441406.25 1.86433351587e-05 1
902465820.312 2.14244859222e-05 1
902490234.375 2.22274620228e-05 1
902514648.438 1.86803578629e-05 1
902539062.5 2.08222720858e-05 1
902563476.562 2.20524755775e-05 1
902587890.625 2.33914250202e-05 1
902612304.688 2.037981493e-05 1
902636718.75 2.04584837064e-05 1
902661132.812 2.00227226458e-05 1
902685546.875 2.16548839148e-05 1
902709960.938 1.70878052245e-05 1
902734375.0 1.66451155792e-05 1
902758789.062 1.50447993633e-05 1
902783203.125 1.42400670484e-05 1
902807617.188 1.33785743969e-05 1
902832031.25 1.35700113248e-05 1
902856445.312 1.14319399188e-05 1
902880859.375 9.80826774821e-06 1
902905273.438 9.84256018342e-06 1
902929687.5 1.09773512463e-05 1
902954101.562 1.20117155035e-05 1
902978515.625 1.09779029458e-05 1
903002929.688 8.29343358646e-06 1
903027343.75 7.66823706897e-06 1
903051757.812 7.17399831984e-06 1
903076171.875 6.76216648401e-06 1
903100585.938 6.63975609001e-06 1
903125000.0 7.76072702564e-06 1


Carrier map =  FFFFFFFFFFFFFFFFFFFFF700000000000000000000EFFFFFFFFFFFFFFFFFFFFF

Transmitting in 900000000 Hz


Sensing the spectrum
896899414.062 6.93381171004e-06 1
896923828.125 6.65797406327e-06 1
896948242.188 5.56985603453e-06 1
896972656.25 5.25898933574e-06 1
896997070.312 6.95075057138e-06 1
897021484.375 7.94567845332e-06 1
897045898.438 7.29276125639e-06 1
897070312.5 6.8567994731e-06 1
897094726.562 7.60598168199e-06 1
897119140.625 8.06237899269e-06 1
897143554.688 8.1243361592e-06 1
897167968.75 9.28788008423e-06 1
897192382.812 1.00581179595e-05 1
897216796.875 1.02564707049e-05 1
