linux; GNU C++ version 4.6.3; Boost_104601; UHD_003.004.003-release

Using Volk machine: sse4_2_64
linux; GNU C++ version 4.6.3; Boost_104601; UHD_003.004.003-release

Using Volk machine: sse4_2_64
-- Opening a USRP2/N-Series device...
-- Current recv frame size: 1472 bytes
-- Current send frame size: 1472 bytes

Symbol Rate:         2.000000
Requested sps:       2.000000
Given sample rate:   195312.500000
Actual sps for rate: 97656.250000

Requested sample rate: 4.000000
Actual sample rate: 195312.500000


Sensing the spectrum
896899414.062 3.72617715385e-06 1
896923828.125 2.60605790317e-06 1
896948242.188 3.38834303761e-06 1
896972656.25 3.44698405996e-06 1
896997070.312 3.19150731229e-06 1
897021484.375 2.57999114268e-06 1
897045898.438 3.00314629698e-06 1
897070312.5 3.20617196934e-06 1
897094726.562 4.57826467652e-06 1
897119140.625 4.98825106661e-06 1
897143554.688 4.21939809883e-06 1
897167968.75 3.97162286561e-06 1
897192382.812 4.29564849753e-06 1
897216796.875 4.09907640915e-06 1
897241210.938 4.63207989583e-06 1
897265625.0 5.20055720301e-06 1
897290039.062 5.62051810959e-06 1
897314453.125 4.78412508755e-06 1
897338867.188 4.81908564609e-06 1
897363281.25 5.11844305606e-06 1
897387695.312 4.36181899488e-06 1
897412109.375 4.58845540265e-06 1
897436523.438 4.49889937499e-06 1
897460937.5 6.39746535569e-06 1
897485351.562 6.07128692423e-06 1
897509765.625 4.65541071435e-06 1
897534179.688 5.07777205883e-06 1
897558593.75 5.44203495565e-06 1
897583007.812 7.48874277292e-06 1
897607421.875 5.31296086876e-06 1
897631835.938 6.36901957023e-06 1
897656250.0 6.18628200471e-06 1
897680664.062 6.98083285045e-06 1
897705078.125 9.40644027878e-06 1
897729492.188 6.67726455958e-06 1
897753906.25 6.73946695429e-06 1
897778320.312 7.34510376788e-06 1
897802734.375 7.85042375924e-06 1
897827148.438 5.46114111444e-06 1
897851562.5 7.97307138498e-06 1
897875976.562 1.02025538013e-05 1
897900390.625 7.92234649793e-06 1
897924804.688 6.94532012631e-06 1
897949218.75 5.81700118119e-06 1
897973632.812 6.86931069822e-06 1
897998046.875 6.62340517579e-06 1
898022460.938 5.72101159264e-06 1
898046875.0 7.43260156355e-06 1
898071289.062 7.69543032106e-06 1
898095703.125 6.53256671796e-06 1
898120117.188 7.15576020696e-06 1
898144531.25 6.74435738404e-06 1
898168945.312 7.50099682278e-06 1
898193359.375 7.55649812447e-06 1
898217773.438 6.64110562525e-06 1
898242187.5 6.57963472293e-06 1
898266601.562 7.62342332621e-06 1
898291015.625 7.5957935735e-06 1
898315429.688 1.00818043848e-05 1
898339843.75 1.07259918309e-05 1
898364257.812 6.52143062325e-06 1
898388671.875 5.52396703029e-06 1
898413085.938 7.27304524162e-06 1
898437500.0 8.21451555453e-06 1
898461914.062 6.2957493526e-06 1
898486328.125 8.7746636126e-06 1
898510742.188 9.13585134867e-06 1
898535156.25 8.72777678751e-06 1
898559570.312 8.58165465161e-06 1
898583984.375 6.52845390903e-06 1
898608398.438 6.43792743915e-06 1
898632812.5 6.22189278658e-06 1
898657226.562 6.03446784453e-06 1
898681640.625 8.24691355206e-06 1
898706054.688 1.11825359198e-05 1
898730468.75 8.52609123285e-06 1
898754882.812 8.01259355399e-06 1
898779296.875 1.11382636419e-05 1
898803710.938 1.16081689924e-05 1
898828125.0 1.01942959873e-05 1
898852539.062 7.35561067415e-06 1
898876953.125 8.3306329941e-06 1
898901367.188 1.0898143347e-05 1
898925781.25 1.39753516549e-05 1
898950195.312 1.65968332681e-05 1
898974609.375 1.81749144986e-05 1
898999023.438 1.24614448737e-05 1
899023437.5 1.01746530987e-05 1
899047851.562 1.68409013469e-05 1
899072265.625 1.8138905466e-05 1
899096679.688 1.34815473018e-05 1
899121093.75 1.79517998191e-05 1
899145507.812 1.67743242969e-05 1
899169921.875 1.42822327518e-05 1
899194335.938 1.26020891685e-05 1
899218750.0 1.55366874992e-05 1
899243164.062 1.47592370837e-05 1
899267578.125 1.47107467654e-05 1
899291992.188 1.47333950736e-05 1
899316406.25 1.45871178262e-05 1
899340820.312 1.58286987698e-05 1
899365234.375 1.97268357823e-05 1
899389648.438 2.39696086254e-05 1
899414062.5 2.49236062729e-05 1
899438476.562 3.20440888459e-05 1
899462890.625 3.34504128148e-05 1
899487304.688 3.03057650967e-05 1
899511718.75 3.80066904654e-05 1
899536132.812 4.05155016495e-05 1
899560546.875 4.48999574076e-05 1
899584960.938 5.05930188353e-05 1
899609375.0 4.83820957527e-05 1
899633789.062 5.25836740621e-05 1
899658203.125 7.28082546175e-05 1
899682617.188 9.36769600173e-05 1
899707031.25 9.10781402865e-05 1
899731445.312 8.76230779909e-05 1
899755859.375 0.000106360541008 0
899780273.438 0.000141903639113 0
899804687.5 0.000179576182563 0
899829101.562 0.000203099958065 0
899853515.625 0.000263452048961 0
899877929.688 0.000395123930861 0
899902343.75 0.0005632079794 0
899926757.812 0.00086410678482 0
899951171.875 0.00168486922545 0
899975585.938 0.0178191178977 0
900000000.0 0.208045925637 0
900024414.062 0.446434408561 0
900048828.125 0.208127556672 0
900073242.188 0.0178297638307 0
900097656.25 0.00171667617972 0
900122070.312 0.000894044370278 0
900146484.375 0.000547174311095 0
900170898.438 0.00039466532927 0
900195312.5 0.000281903597016 0
900219726.562 0.000199775985715 0
900244140.625 0.000167941186817 0
900268554.688 0.000152905233332 0
900292968.75 0.000115450222364 0
900317382.812 8.70363219803e-05 1
900341796.875 7.52735845424e-05 1
900366210.938 8.07464786192e-05 1
900390625.0 7.69450951509e-05 1
900415039.062 5.82542496943e-05 1
900439453.125 4.90196449107e-05 1
900463867.188 5.31418921497e-05 1
900488281.25 5.15449068757e-05 1
900512695.312 4.09374528033e-05 1
900537109.375 4.2419146024e-05 1
900561523.438 3.73077878805e-05 1
900585937.5 3.3545626377e-05 1
900610351.562 3.69864200053e-05 1
900634765.625 3.27956113097e-05 1
900659179.688 3.23669951285e-05 1
900683593.75 2.59801741834e-05 1
900708007.812 1.90412403867e-05 1
900732421.875 1.77703087331e-05 1
900756835.938 1.58606300801e-05 1
900781250.0 1.40428640634e-05 1
900805664.062 1.76927253278e-05 1
900830078.125 2.11300591957e-05 1
900854492.188 1.5710320622e-05 1
900878906.25 1.36057887431e-05 1
900903320.312 1.52077778012e-05 1
900927734.375 1.47543575281e-05 1
900952148.438 1.13256755924e-05 1
900976562.5 1.55014927088e-05 1
901000976.562 1.92858548928e-05 1
901025390.625 1.42256031097e-05 1
901049804.688 8.83069413362e-06 1
901074218.75 9.07564032673e-06 1
901098632.812 1.10466517356e-05 1
901123046.875 1.36735266437e-05 1
901147460.938 1.41503348686e-05 1
901171875.0 1.21955168311e-05 1
901196289.062 9.92300951168e-06 1
901220703.125 1.07182002381e-05 1
901245117.188 1.09548629155e-05 1
901269531.25 1.02251393116e-05 1
901293945.312 8.83576310002e-06 1
901318359.375 8.04363714906e-06 1
901342773.438 1.0702244856e-05 1
901367187.5 9.97342995959e-06 1
901391601.562 8.90389397625e-06 1
901416015.625 9.14867954407e-06 1
901440429.688 8.74035168295e-06 1
901464843.75 5.63650159222e-06 1
901489257.812 6.99845600138e-06 1
901513671.875 9.02771019469e-06 1
901538085.938 8.15683542896e-06 1
901562500.0 1.0386731492e-05 1
901586914.062 9.2974598175e-06 1
901611328.125 6.71814215423e-06 1
901635742.188 7.21103473893e-06 1
901660156.25 7.54323741035e-06 1
901684570.312 6.2521491941e-06 1
901708984.375 1.10674073085e-05 1
901733398.438 1.41909099e-05 1
901757812.5 1.20726854647e-05 1
901782226.562 1.11664931751e-05 1
901806640.625 5.96049899002e-06 1
901831054.688 4.76066628323e-06 1
901855468.75 5.4544721138e-06 1
901879882.812 6.15130097685e-06 1
901904296.875 6.19719333201e-06 1
901928710.938 6.51489725385e-06 1
901953125.0 7.22372828648e-06 1
901977539.062 7.44334440128e-06 1
902001953.125 6.89238710265e-06 1
902026367.188 7.15291002962e-06 1
902050781.25 7.31775178622e-06 1
902075195.312 6.60985993477e-06 1
902099609.375 5.6171178187e-06 1
902124023.438 6.54947040459e-06 1
902148437.5 6.73671898994e-06 1
902172851.562 7.0554352618e-06 1
902197265.625 8.47821639525e-06 1
902221679.688 7.13542089557e-06 1
902246093.75 6.73878388397e-06 1
902270507.812 6.67398843461e-06 1
902294921.875 6.40150099116e-06 1
902319335.938 6.3993734301e-06 1
902343750.0 6.77146432508e-06 1
902368164.062 5.86063657124e-06 1
902392578.125 7.13991177577e-06 1
902416992.188 7.25810662061e-06 1
902441406.25 5.76092058395e-06 1
902465820.312 8.46639849783e-06 1
902490234.375 6.50851188482e-06 1
902514648.438 6.16861848073e-06 1
902539062.5 5.84544052344e-06 1
902563476.562 5.14975136525e-06 1
902587890.625 5.55190993339e-06 1
902612304.688 4.11055601148e-06 1
902636718.75 4.9160212285e-06 1
902661132.812 4.61376117755e-06 1
902685546.875 4.35066696696e-06 1
902709960.938 3.78214201646e-06 1
902734375.0 5.2810828123e-06 1
902758789.062 5.29419762074e-06 1
902783203.125 3.60516883688e-06 1
902807617.188 4.12471563891e-06 1
902832031.25 4.51101923318e-06 1
902856445.312 3.87535083632e-06 1
902880859.375 3.09531025238e-06 1
902905273.438 3.55586154939e-06 1
902929687.5 3.19948146341e-06 1
902954101.562 4.69285525639e-06 1
902978515.625 4.31243766883e-06 1
903002929.688 3.32343051639e-06 1
903027343.75 2.62587594904e-06 1
903051757.812 3.01807137362e-06 1
903076171.875 3.71313851133e-06 1
903100585.938 2.9242675339e-06 1
903125000.0 3.24326825734e-06 1


Carrier map =  FFFFFFFFFFFFFFFFFFFFFFFFFFFFF100000FFFFFFFFFFFFFFFFFFFFFFFFFFFFF

Transmitting in 900000000 Hz


Sensing the spectrum
896899414.062 3.88282272468e-07 1
896923828.125 3.33920284845e-07 1
896948242.188 3.19819054084e-07 1
896972656.25 3.76006363467e-07 1
